Название,Страна,Жанр,Год выпуска,Возрастное ограничение,Продолжительность,Рейтинг
Я плюю на ваши могилы,США,Ужасы,2010,16,107,7.3
Движение вверх,Россия,Спорт,2017,6,128,8.8
Девочка ищет отца,СССР,Драмы,1959,6,86,6.5
Шальная карта,США,Боевики,2014,16,88,7.2
Больше чем секс,США,Мелодрамы,2010,18,103,7.8
Приключения Паддингтона,Великобритания,Комедии,2014,6,91,8.5
Трансформеры: Эпоха истребления,США,Фантастика,2014,12,158,8.4
Зеленая миля,США,Драмы,1999,16,188,9.2
Бегущий по лезвию 2049,США,Фантастика,2017,18,156,7.5
Брат,Россия,Криминал,1997,18,95,8.8
Город тайн,Австралия,Детективы,2020,16,112,7.6
Мерзлая земля,США,Триллеры,2013,16,104,7.7
Каратэ-пацан,США,Драмы,2010,6,134,9.0
Клаустрофобы: Квест с того света,США,Ужасы,2022,18,105,6.2
Каникулы off-line 3 (на казахском языке с русскими субтитрами),Казахстан,Комедии,2023,6,85,6.7
Легенда №17,Россия,Спорт,2012,6,128,9.0
Либерея: Охотники за сокровищами,Россия,Приключения,2022,12,105,6.9
Дорога перемен,США,Драмы,2008,16,114,7.6
Иллюзия обмана 2,США,Боевики,2016,12,129,8.2
Голодные игры: Сойка-пересмешница. Часть I,США,Фантастика,2014,16,122,7.8
"Блондинка в законе 2: Красное, белое и блондинка",США,Комедии,2003,12,94,7.9
Джиперс Криперс: Возрожденный,США,Ужасы,2022,18,87,4.4
Трансформеры 3: Тёмная сторона Луны,США,Фантастика,2011,16,148,8.3
Мачо и ботан 2,США,Комедии,2014,16,107,7.9
Чего хотят мужчины,США,Комедии,2019,18,112,7.6
Авиатор,Германия,Драмы,2004,12,169,8.1
Выкрутасы,Россия,Мелодрамы,2010,12,96,8.4
Матильда,США,Для детей,1996,6,98,8.8
Иван Васильевич меняет профессию,СССР,Комедии,1973,12,91,8.7
Обезьяна против монстра,США,Фантастика,2021,16,88,1.8
Друг на продажу,Россия,Комедии,2021,16,101,7.6
9 рота,Россия,Военные,2005,16,133,8.5
Элвин и бурундуки: Грандиозное бурундуключение,США,Для детей,2015,6,88,8.4
СпимГоворим,Россия,Мелодрамы,2023,16,70,5.8
Этому быть!,Франция,Драмы,2021,16,91,8.3
Эскорт,США,Мелодрамы,2015,18,87,6.4
Бесконечность,США,Фантастика,2021,16,101,7.6
Doom,Великобритания,Боевики,2005,16,104,7.2
Ужастики,США,Фэнтези,2015,12,103,7.9
Va-банк,США,Триллеры,2013,16,87,7.8
Няньки,США,Комедии,1994,12,89,8.4
Три дня на побег,США,Боевики,2010,16,127,8.3
История Гражданской войны,Россия,Исторические,1921,12,94,6.6
Паразит,Испания,Драмы,2022,18,106,5.6
"Дивергент, глава 2: Инсургент",США,Фантастика,2015,12,114,8.0
Каспер. Легенда возвращается,США,Фэнтези,2022,6,90,6.9
Умная Маша,Россия,Комедии,2022,16,79,7.4
"Кавказская пленница, или Новые приключения Шурика",СССР,Комедии,1967,12,77,8.5
Кухня. Последняя битва,Россия,Комедии,2017,12,114,8.5
Иллюзия обмана,США,Детективы,2013,16,110,8.4
Спортлото-82,СССР,Советские,1982,16,89,8.3
"Чего ждать, когда ждешь ребенка",США,Драмы,2012,16,105,8.0
За гранью времени,США,Триллеры,2023,18,80,4.9
Дневник Бриджит Джонс,Великобритания,Комедии,2001,18,96,8.4
Бриллиантовая рука,СССР,Советские,1969,0,94,8.7
Пленница,США,Триллеры,2020,16,89,6.3
Темное наследие,США,Триллеры,2020,16,106,7.0
Ключ от всех дверей,США,Ужасы,2005,18,103,7.6
Келинжан (на казахском языке с русскими субтитрами),Казахстан,Комедии,2022,12,78,8.2
"Помогите, я уменьшил свою училку!",Германия,Комедии,2015,6,101,8.0
Мария. Спасти Москву,Россия,Драмы,2022,12,111,7.5
Миссия «Серенити»,США,Фантастика,2005,16,118,7.4
Поезд в Пусан,Южная Корея,Ужасы,2016,16,118,7.7
Доброе утро,США,Драмы,2010,16,102,8.2
Под покровом ночи,США,Триллеры,2016,18,116,6.5
Отпетые напарники,Китай,Боевики,2016,16,103,7.8
Конец света,США,Драмы,2021,18,105,3.9
Шаг вперед,США,Драмы,2006,12,103,8.3
Астрал: Потомство,Норвегия,Ужасы,2022,18,102,6.0
Римские расставания,Италия,Мелодрамы,2022,18,116,7.5
Стрелок,США,Боевики,2007,16,120,8.3
Агент Джонни Инглиш,Великобритания,Боевики,2003,12,87,7.8
Паркер,США,Боевики,2013,16,118,8.0
Sex Doll,Великобритания,Триллеры,2016,16,102,5.1
Мидуэй,США,Военные,2019,16,132,8.1
Мгла,США,Ужасы,2007,16,125,7.2
Жених напрокат,США,Комедии,2011,16,112,7.2
Любовь-морковь 3,Россия,Семейные,2011,12,93,6.8
Человек в железной маске,США,Приключения,1998,12,132,8.4
"Кто твоя бабушка, чувак?",Франция,Комедии,2019,18,94,7.5
В погоне за счастьем,США,Драмы,2006,12,117,8.7
Маленькие женщины,США,Драмы,2019,12,129,8.6
Пятое измерение,США,Фантастика,2009,12,111,7.2
Я плюю на ваши могилы 2,США,Ужасы,2013,16,105,6.9
Хакер,США,Триллеры,2016,16,107,7.5
Бандит,Канада,Криминал,2022,18,125,7.8
Самая обаятельная и привлекательная,СССР,Мелодрамы,1985,16,80,8.6
Парк Юрского периода 3,США,Фантастика,2001,12,92,8.0
Мушкетеры,США,Приключения,2011,16,110,7.5
Дрянные девчонки,США,Комедии,2004,18,92,7.8
Типа крутые легавые,Великобритания,Комедии,2007,16,120,7.6
Волк и лев,Франция,Приключения,2021,6,99,8.6
Орудия смерти: Город костей,Германия,Фэнтези,2013,12,124,7.4
Эффект колибри,Великобритания,Триллеры,2012,16,95,7.6
Булки,Россия,Комедии,2022,18,102,7.3
Zомбилэнд: Контрольный выстрел,США,Комедии,2019,18,95,7.7
Стрельцов,Россия,Спорт,2020,6,97,8.6
"Больше, чем друг",США,Комедии,2010,16,97,7.8
Американский пирог,США,Комедии,1999,16,96,8.3
Убежище,Россия,Триллеры,2022,16,87,6.7
Дракула: Настоящий живой вампир,США,Ужасы,2021,18,83,4.4
Стыд,Великобритания,Драмы,2011,18,96,4.9
Джентльмены удачи,СССР,Драмы,1971,6,83,8.8
Молчание ягнят,США,Триллеры,1990,18,118,8.6
Психопат,Франция,Триллеры,2022,18,103,5.6
Рядовой Чээрин,Россия,Военные,2020,12,95,7.3
Легенды Орлёнка,Россия,Фэнтези,2022,6,88,8.3
Джек Ричер,США,Боевики,2012,16,130,8.2
Страшные сказки,Италия,Ужасы,2015,16,128,6.5
Терминатор,Великобритания,Боевики,1984,16,107,8.7
"Дивергент, глава 3: За стеной",США,Фантастика,2016,12,120,7.9
Джонни и Клайд,США,Боевики,2023,18,99,3.7
Единичка,Россия,Военные,2015,12,104,8.0
Между небом и землей,США,Фэнтези,2005,12,90,8.6
Спасти рядового Райана,США,Драмы,1998,16,162,8.7
Драйв,США,Драмы,2011,16,96,7.1
Бумер,Россия,Драмы,2003,16,109,8.3
Несносные леди,США,Драмы,2016,16,113,7.8
Домашнее видео,США,Мелодрамы,2014,16,90,7.3
Мой парень из зоопарка,США,Комедии,2011,12,101,8.4
Ю-571,США,Боевики,2000,16,111,7.8
Месть пушистых,США,Комедии,2010,6,91,7.9
Лиза,Россия,Драмы,2023,16,90,7.5
Агент Джонни Инглиш: Перезагрузка,США,Комедии,2011,12,101,8.0
Любовь-морковь 2,Россия,Комедии,2008,16,94,8.3
Семь лет в Тибете,США,Драмы,1997,16,135,8.3
Брат 2,Россия,Криминал,2000,18,122,9.0
Элизиум: Рай не на Земле,США,Фантастика,2013,16,109,7.6
Скрюченный домишко,Великобритания,Детективы,2017,16,110,7.3
Как выжить без смартфона,США,Мелодрамы,2022,18,90,7.3
Легенды осени,США,Драмы,1994,16,133,8.6
Про любовь. Только для взрослых,Россия,Комедии,2017,16,108,7.3
Пила 8,Канада,Ужасы,2017,16,91,7.5
Большая свадьба,США,Драмы,2013,16,85,7.6
Семейка Аддамс,США,Комедии,1991,12,95,8.2
