Название,Страна,Жанр,Год выпуска,Возрастное ограничение,Продолжительность,Рейтинг
"Да, боже, да",США,Комедии,2019,16,77,4.9
Можно только представить,США,Драмы,2018,12,105,8.4
Удивительная миссис Мэй,Великобритания,Драмы,2017,18,100,7.8
Земля. Перезагрузка,Китай,Фантастика,2021,12,92,5.6
Легок на помине,Россия,Комедии,2014,12,82,7.2
Необъяснимое,США,Триллеры,2017,16,105,7.1
Убрать из друзей,США,Ужасы,2014,16,78,6.0
Воспоминания об убийстве,Южная Корея,Триллеры,2003,16,130,6.8
8 первых свиданий,Россия,Комедии,2012,16,82,7.8
Итальянские каникулы,Италия,Комедии,2020,12,110,7.7
Великий,США,Драмы,2020,16,110,8.2
Обещание,Испания,Военные,2016,16,127,8.3
Дворецкий,США,Драмы,2013,12,131,8.2
Дюна,США,Фантастика,1984,12,136,7.2
Бармен,Россия,Комедии,2015,16,91,7.6
Ночной рейс,США,Триллеры,2005,16,81,7.5
Аэроплан,США,Комедии,1980,16,83,7.6
12 обезьян,США,Фантастика,1995,16,129,7.7
Мой ласковый и нежный зверь,СССР,Драмы,1978,12,103,8.0
Звоните Джейн,США,Драмы,2022,18,121,7.6
Эбигейл,Россия,Фэнтези,2019,6,106,6.4
"Частное пионерское 3. Привет, взрослая жизнь!",Россия,Приключения,2017,12,98,7.6
Одержимость,США,Драмы,2013,16,102,8.5
Побеждая время,США,Триллеры,2012,16,92,7.4
Клуб любителей книг и пирогов из картофельных очистков,Великобритания,Мелодрамы,2018,12,123,8.4
Родитель,Россия,Драмы,2022,18,115,7.6
5 галактик,США,Фантастика,2019,16,82,3.7
Хайди,США,Ужасы,2014,16,93,5.6
Ледяной капкан,США,Триллеры,2020,16,89,5.8
Узники страны призраков,США,Фантастика,2021,18,102,3.6
Мексиканец,США,Мелодрамы,2001,16,117,7.7
Ширли-мырли,Россия,Комедии,1995,16,135,8.2
Работа без авторства,Германия,Драмы,2018,16,189,8.5
Сквозь темное стекло,США,Триллеры,2020,16,103,6.5
Липучка,Германия,Криминал,2011,16,87,7.3
Форсаж,США,Боевики,2001,16,106,8.5
Решала,Россия,Драмы,2012,16,78,7.3
Бабушка,Испания,Ужасы,2021,16,99,4.8
Лев Яшин – №1,Россия,Документальные,2018,6,68,7.7
Водитель для Веры,Россия,Драмы,2004,16,110,8.1
Манолете,Испания,Драмы,2008,18,91,7.4
Питомец Юрского периода,США,Приключения,2019,6,81,7.5
Фарго,США,Триллеры,1995,16,98,7.2
Дом,Россия,Криминал,2011,16,127,7.5
Олигарх,Россия,Драмы,2002,16,128,7.5
Прыгучая братва,Франция,Приключения,2021,6,88,8.1
Тела,США,Ужасы,2016,16,98,5.3
Кислота,Россия,Драмы,2018,16,97,5.1
Нелюбовь,Россия,Драмы,2017,16,126,6.5
Тайна амулета,Россия,Фэнтези,2022,12,94,6.6
Шарада,США,Комедии,1963,16,113,8.0
Гладиатор,США,Боевики,2000,18,154,9.0
Скайлайн,США,Фантастика,2010,16,88,6.1
Легионер: Беги или умри,США,Боевики,2020,16,95,5.7
Открытое море: Новые жертвы,Австралия,Ужасы,2010,16,84,6.2
Мама: Возвращение из тьмы,Австралия,Ужасы,2020,16,81,4.0
Пустой дом,Южная Корея,Драмы,2004,16,84,8.8
Тупик,США,Боевики,2021,16,92,5.7
Мой друг робот,Германия,Приключения,2016,6,105,7.6
Демон внутри,Великобритания,Триллеры,2016,16,82,6.7
Дед Мороз. Битва Магов,Россия,Фэнтези,2017,6,116,8.2
Бомбардировка,Китай,Боевики,2018,16,126,6.2
Очень лысая поездка,Испания,Комедии,2022,16,102,7.2
Коммандо,США,Боевики,2022,16,92,6.2
Кладбище домашних животных,США,Ужасы,2019,18,96,6.2
Рокки Бальбоа,США,Драмы,2006,16,101,8.4
G. I. Joe. Бросок кобры: Снейк Айз,США,Боевики,2021,16,116,6.9
128 ударов сердца в минуту,Великобритания,Драмы,2015,18,92,8.3
Левиафан,Россия,Драмы,2014,16,141,7.4
Нефть,США,Драмы,2007,16,151,7.3
13-й район: Кирпичные особняки,Франция,Боевики,2013,16,86,7.5
Питер FM,Россия,Мелодрамы,2006,12,83,8.0
Иллюзия контроля,Великобритания,Триллеры,2021,16,94,7.5
Пусть говорят,США,Драмы,2020,18,108,5.7
Банда Чикаго,США,Боевики,2020,18,93,6.5
Видок: Охотник на призраков,Франция,Детективы,2018,16,115,7.4
День выборов 2,Россия,Комедии,2015,18,105,8.1
Уличный боец,США,Боевики,2009,16,92,6.1
Вторжение: Планета Земля,Великобритания,Фантастика,2019,16,93,3.8
Ограбление по-джентльменски,США,Боевики,2021,18,90,6.6
Райские холмы,Испания,Фантастика,2019,16,90,6.7
16-й,Россия,Комедии,2021,18,123,6.3
Мистериум: Эффект Марко,Дания,Детективы,2021,18,120,7.2
Залив тишины,Великобритания,Триллеры,2020,16,89,6.2
Али,США,Драмы,2001,16,156,8.1
Малышка на миллион,США,Драмы,2004,16,132,8.6
Усатый нянь,СССР,Для детей,1977,0,70,8.5
Женщина в черном 2: Ангел смерти,Великобритания,Ужасы,2015,16,94,6.1
Проклятый дом 3,США,Ужасы,2018,16,87,4.3
2pac: Легенда,США,Драмы,2017,16,133,8.5
О чем молчат девушки,Россия,Комедии,2013,12,81,6.9
Парень на праздники,США,Мелодрамы,2019,16,104,5.0
Афера столетия,США,Драмы,2020,16,76,4.6
Джейн берет ружье,США,Боевики,2016,16,94,7.2
Лимб,Канада,Ужасы,2013,16,93,6.8
Зеркала: Инкарнация,США,Ужасы,2020,18,86,5.6
Спирит,Нидерланды,Приключения,2022,6,85,5.9
Резня,Германия,Драмы,2011,16,79,7.2
Лавлэйс,США,Драмы,2013,16,88,6.2
Соседи сверху,Испания,Комедии,2020,18,81,6.4
Страховщик,Испания,Фантастика,2014,16,105,6.5
Жизнь впереди,Россия,Комедии,2017,16,85,6.1
Последние выжившие,США,Фантастика,2022,16,98,6.3
Проклятие пиковой дамы,Канада,Ужасы,2021,18,91,5.7
Четыре комнаты,США,Комедии,1995,16,93,8.1
Кон-Тики,Норвегия,Приключения,2012,12,109,7.9
Бункер,США,Триллеры,2022,18,107,7.1
Доктор по вызову,Италия,Комедии,2021,16,92,7.2
Дерзкое ограбление,Южная Корея,Криминал,2021,16,103,7.2
Город грехов,США,Боевики,2005,18,119,8.3
Заклятье: Спуск к Дьяволу,Ирландия,Ужасы,2022,16,90,6.1
Без тормозов,Франция,Боевики,2016,16,87,7.7
Кочегар,Россия,Драмы,2010,16,83,6.6
Неубиваемый,Канада,Боевики,2022,16,90,6.5
Молчание,США,Драмы,2016,16,154,7.0
Эксперимент «Офис»,США,Триллеры,2016,16,85,6.5
30 свиданий,Россия,Комедии,2015,16,88,7.8
Черное золото,Франция,Приключения,2011,16,124,7.8
Бронсон,Великобритания,Биография,2008,16,92,6.1
Любовь от всех болезней,Франция,Комедии,2014,16,103,7.8
Покорители волн,США,Драмы,2012,12,111,8.4
Голоса,Италия,Ужасы,2021,18,96,3.7
Крепость 2: Глаз снайпера,США,Боевики,2022,16,96,5.8
Волк,Нидерланды,Криминал,2013,16,122,6.4
Война под землей,Великобритания,Военные,2021,16,92,7.5
Святая Джуди,США,Биография,2018,16,105,7.7
В канун Рождества,США,Для детей,2014,12,86,7.6
Зачетный препод 2,Германия,Комедии,2015,16,110,7.9
Третий акт,США,Драмы,2012,16,109,8.2
Как прогулять школу с пользой,Франция,Драмы,2017,6,115,8.6
Антиматерия,Великобритания,Фантастика,2016,16,105,5.5
Кровь викингов,Дания,Боевики,2019,16,88,5.2
Я никогда не буду твоей,США,Мелодрамы,2007,16,96,6.8
Пташка,Канада,Триллеры,2019,16,84,4.6
От рассвета до заката,США,Триллеры,2022,18,100,6.0
Умник,Франция,Драмы,2018,16,97,8.4
Паранормальное явление 2,США,Ужасы,2010,16,83,7.0
Добро пожаловать в капкан,Великобритания,Боевики,2013,16,95,7.0
Мадам Парфюмер,Франция,Комедии,2019,12,101,7.8
Герой,Россия,Боевики,2019,12,115,6.9
Все деньги мира,США,Триллеры,2017,18,132,7.5
Джунгли,Россия,Мелодрамы,2012,6,80,7.3
Мама,СССР,Для детей,1976,0,83,8.2
Старая дева,Канада,Комедии,2019,16,89,6.6
Мизери,США,Триллеры,1990,16,107,7.9
Горечь и сладость,Южная Корея,Боевики,2005,18,114,6.7
Мадам,Франция,Комедии,2017,16,87,7.0
"Винчестер. Дом, который построили призраки",Австралия,Ужасы,2018,16,95,7.6
Страна призраков,Франция,Ужасы,2018,16,91,6.6
Наемник,США,Боевики,2017,16,111,7.5
2 дня,Россия,Комедии,2011,16,89,7.9
Любовь со взломом,США,Комедии,2018,16,78,6.4
Кукла 2: Брамс,США,Ужасы,2020,16,82,6.3
Малыш Кид,США,Вестерн,2019,16,99,6.4
Эта безумная любовь,Франция,Мелодрамы,2021,16,124,7.5
Зачетный препод 3,Германия,Комедии,2017,16,114,7.9
Любовь без пересадок,Франция,Мелодрамы,2013,16,93,7.6
Человек ноября,США,Боевики,2014,16,103,7.2
Закон доблести,США,Боевики,2012,16,104,6.7
Дружить по-русски!,Франция,Комедии,2019,16,97,7.9
Рокки 5,США,Драмы,1990,16,104,8.5
Ёлки 8,Россия,Комедии,2021,6,93,6.4
Рашн Юг,Россия,Комедии,2021,12,119,6.6
Удача Логана,США,Криминал,2017,16,113,7.7
Слова,США,Драмы,2012,12,102,7.3
Дом Z,США,Ужасы,2020,16,92,6.5
Запретная кухня,США,Семейные,2019,12,82,7.5
Бог грома,Норвегия,Фэнтези,2020,16,99,6.1
Пришелец из будущего,Франция,Фантастика,2022,16,101,5.6
"Не ходите, девки, замуж",СССР,Мюзикл,1985,0,65,7.6
"Анжелика, маркиза ангелов",Франция,Мелодрамы,2013,16,108,7.5
Берег реки,Канада,Детективы,2012,16,78,6.1
Трюк,США,Ужасы,2019,16,100,6.4
Побег,Россия,Триллеры,2005,16,117,8.2
Страшные истории для рассказа незнакомцам,США,Ужасы,2021,16,93,5.1
Молоко,Россия,Драмы,2021,16,118,6.8
Мозг. Вторая Вселенная,Россия,Документальные,2017,12,85,7.7
Убить босса,Россия,Комедии,2022,16,91,5.7
"Ну, здравствуй, Оксана Соколова!",Россия,Комедии,2018,16,95,7.5
Мажоры на каникулах,США,Комедии,2015,16,89,6.9
Монстр в лесу,США,Триллеры,2022,18,83,5.4
Точка возврата,Канада,Боевики,2018,16,96,5.8
Город банд,США,Драмы,2019,16,86,5.8
Пожары,Канада,Драмы,2010,16,125,8.2
Хорошо быть тихоней,США,Драмы,2012,18,98,7.9
Любовь без правил,Россия,Комедии,2016,16,90,6.2
Добро пожаловать в рай!,США,Боевики,2005,12,110,7.7
Талантливый мистер Рипли,США,Триллеры,1999,18,129,7.6
Сердце дракона,США,Фэнтези,1996,16,102,8.1
Голодные Z,Канада,Ужасы,2017,16,102,5.1
Опасное расследование,США,Драмы,2017,16,90,7.3
Тельма и Луиза,США,Драмы,1991,16,129,8.3
Разрушение Хиросимы и Нагасаки,США,Документальные,2007,18,82,9.4
Коммунальный детектив,Россия,Детективы,2014,12,88,7.0
Пиковая дама: Черный обряд,Россия,Ужасы,2015,16,89,6.8
Заклятье. Сдается комната,США,Триллеры,2019,16,81,4.3
Частное пионерское,Россия,Семейные,2013,6,100,8.4
Курьер,Великобритания,Боевики,2019,16,95,6.3
Дельфин Берни,Канада,Семейные,2018,6,87,8.0
Соседи по разводу,Россия,Комедии,2013,12,89,6.5
Махнемся телами,Франция,Комедии,2020,18,88,7.8
Странный Эл,США,Комедии,2022,18,107,6.9
Ледяная синева,Канада,Триллеры,2017,16,103,4.7
Декретный отрыв,Нидерланды,Комедии,2020,16,103,7.5
Невидимка Сью,Германия,Фэнтези,2018,6,95,7.5
Восточный ветер. Великий ураган,Германия,Приключения,2021,12,98,8.7
Она,США,Мелодрамы,2013,16,120,7.5
Волкодав,Россия,Боевики,2006,16,135,7.2
Кукушка,Россия,Драмы,2002,16,103,7.7
Не расставаясь с мечтой,США,Драмы,2019,16,110,6.6
Грязные игры,США,Триллеры,2012,16,116,7.0
Холодное лето пятьдесят третьего,СССР,Советские,1987,16,96,8.8
"Красивый, плохой, злой: Начало",США,Криминал,2021,16,95,6.7
Герда,Россия,Драмы,2021,18,116,4.7
10 минут спустя,США,Криминал,2019,16,95,6.1
Титан,Великобритания,Фантастика,2018,16,93,5.2
Полное превращение,Россия,Комедии,2015,16,83,7.1
Полтергейст,США,Ужасы,2015,12,89,6.8
Молодость,Россия,Драмы,2023,16,88,7.5
"Свой среди чужих, чужой среди своих",СССР,Советские,1974,16,92,8.7
История семьи Блум,Австралия,Драмы,2020,12,95,8.3
Королевское Рождество,США,Мелодрамы,2015,12,83,7.8
Великая красота,Италия,Драмы,2013,16,135,6.1
Королевский роман,Дания,Драмы,2012,16,132,7.7
"Высоцкий. Спасибо, что живой",Россия,Драмы,2011,16,126,8.5
Мастер меча,Южная Корея,Исторические,2020,16,100,8.0
За пропастью во ржи,США,Драмы,2017,16,104,7.8
Искусственный разум,США,Фантастика,2001,12,138,8.3
Нежность,Франция,Мелодрамы,2011,12,109,7.6
Мафия: Игра на выживание,Россия,Фантастика,2016,16,90,6.5
Нокаут,Ирландия,Боевики,2011,16,89,6.3
Телохранитель,США,Криминал,2010,16,102,6.9
Свингер,Дания,Мелодрамы,2016,16,99,5.1
Незнакомец,Канада,Драмы,2021,18,95,7.4
Лучший стрелок,США,Боевики,1986,12,104,8.0
Американец,США,Детективы,2010,16,100,7.0
Джуди,Великобритания,Биография,2019,16,113,7.8
Фото на память,Россия,Ужасы,2018,16,73,5.3
Заклятье. Наши дни,Великобритания,Триллеры,2016,16,85,6.6
Дитя человеческое,США,Фантастика,2006,16,109,7.0
Магия зверя,Франция,Триллеры,2019,18,112,6.2
Голем,Великобритания,Детективы,2016,16,104,7.0
Восточный ветер 4: Легенда о Воине,Германия,Приключения,2019,12,106,8.6
Три тысячи лет желаний,Австралия,Фэнтези,2022,18,103,7.7
Папа,Россия,Драмы,2004,12,94,8.4
На крючке!,Россия,Комедии,2011,16,89,7.7
Пленница любви,США,Детективы,2022,16,85,5.8
Озеро смерти,Норвегия,Ужасы,2019,16,95,4.8
Папа,Россия,Короткометражки,2019,16,20,7.2
Тринадцать камер,США,Триллеры,2015,16,89,4.9
Никто,США,Боевики,2021,18,91,8.0
Маленький гигант большого секса,Россия,Комедии,1992,16,81,5.9
Беовульф,США,Фэнтези,1999,16,93,6.1
Параграф 78: Фильм первый,Россия,Фантастика,2007,16,87,7.1
Парни не танцуют,Франция,Комедии,2022,16,97,7.9
Пила: Начало,Канада,Ужасы,2018,18,87,5.9
Последнее испытание,Россия,Драмы,2018,16,138,8.1
Карьера Димы Горина,СССР,Мелодрамы,1961,0,94,8.1
Комната,Ирландия,Драмы,2015,18,112,7.8
Сын Божий,США,Драмы,2014,12,132,8.1
Лето 84,Канада,Триллеры,2017,16,105,7.4
Братья Систерс,Франция,Вестерн,2018,16,116,7.2
Форсаж 7,США,Боевики,2015,12,137,8.9
Золотой ключик,СССР,Для детей,1939,0,76,7.3
13 грехов,США,Триллеры,2014,16,92,6.8
Лес самоубийц,США,Драмы,2015,16,110,7.5
Примадонна,Великобритания,Драмы,2016,16,106,8.1
Не лечи меня,Россия,Комедии,2021,16,88,7.4
Хранитель времени,Великобритания,Драмы,2011,12,120,8.1
День города,Россия,Комедии,2021,16,91,5.7
Любовь из пробирки,Россия,Мелодрамы,2013,12,100,7.4
Я и Ты,Франция,Мелодрамы,2017,16,112,7.5
Опасный бизнес,Австралия,Криминал,2018,16,106,7.2
Живет такой парень,СССР,Мелодрамы,1964,0,94,8.0
Ёлки,Россия,Комедии,2010,12,85,8.3
Асса,СССР,Драмы,1988,16,144,8.0
Омен: Перерождение,США,Ужасы,2019,18,88,6.6
Враг,Канада,Триллеры,2013,16,86,5.0
Спасти планету,США,Документальные,2020,6,89,8.1
Мой брат – супергерой!,Италия,Комедии,2019,12,102,8.4
Дежа вю,СССР,Советские,1989,12,103,8.1
Охота на монстра,Китай,Фэнтези,2015,12,112,7.7
"Тот, кто гасит свет",Россия,Детективы,2008,16,86,6.8
Тест,Испания,Комедии,2022,16,105,6.2
Морфий,Россия,Драмы,2008,16,107,7.2
Утраченные иллюзии,Франция,Драмы,2021,18,149,7.5
Ученик экзорциста,США,Ужасы,2021,16,83,5.8
Леди Макбет,Великобритания,Драмы,2016,16,85,5.8
Железный рыцарь 2,Великобритания,Исторические,2014,16,103,6.0
Отпуск летом,Россия,Мелодрамы,2014,12,90,7.6
Угнать и продать,Канада,Боевики,2020,16,87,6.6
Химера,Канада,Ужасы,2009,16,103,6.4
Погребальные байки,США,Ужасы,2019,18,110,6.3
Мне не больно,Россия,Драмы,2006,16,100,7.5
Хэллбендер,США,Ужасы,2021,18,82,4.7
Вампиры,США,Боевики,1998,16,102,6.8
Крепость,США,Боевики,2021,16,98,5.8
Мастер Z: Наследие Ип Мана,Китай,Боевики,2018,16,103,7.7
Филомена,Великобритания,Драмы,2013,18,97,8.1
Со дна вершины,Россия,Драмы,2018,12,111,8.6
Папина дочка,Франция,Комедии,2020,12,102,7.5
Бюро человечества,Канада,Фантастика,2017,16,94,5.7
Середина века,США,Триллеры,2022,18,104,5.3
Индийские каникулы,США,Комедии,2021,16,100,7.1
Пять недель,Россия,Комедии,2021,16,83,5.2
Принудительная изоляция,США,Ужасы,2021,16,89,4.5
Прекрасный день по соседству,США,Биография,2019,16,104,8.2
Предел риска,США,Триллеры,2011,16,102,6.8
Невеста,Россия,Ужасы,2017,16,91,5.5
Обитаемый остров,Россия,Фантастика,2008,12,116,7.0
Джигалоу,Россия,Комедии,2022,16,88,5.5
Смертельные иллюзии,Россия,Триллеры,2020,12,108,7.8
Ночной портье,США,Криминал,2020,16,90,6.5
Туча,Казахстан,Криминал,2020,16,68,6.5
Формула любви,СССР,Мелодрамы,1984,0,86,8.6
Вулкан страстей,Франция,Комедии,2013,16,88,7.3
Джиа,США,Драмы,1998,18,117,7.9
Небесный суд,Россия,Мелодрамы,2012,12,93,7.7
Экстремальная работа,Южная Корея,Комедии,2019,16,111,7.6
Благородный грабитель,Франция,Драмы,2013,16,116,5.6
Звонок мертвецу,Германия,Триллеры,2018,18,126,7.5
Три девятки,США,Криминал,2016,16,110,6.8
Темное зеркало,США,Ужасы,2018,16,99,5.7
На районе,Россия,Драмы,2018,16,91,5.9
Раскол короны,Испания,Исторические,2016,16,110,7.0
Хемингуэй и Геллхорн,США,Биография,2012,18,148,8.7
Ценный груз,Канада,Боевики,2016,16,86,6.6
Сектор 17,Великобритания,Боевики,2019,16,84,4.2
Чернобыльский футбол,Россия,Футбол,2020,12,36,8.8
Игра смерти,США,Ужасы,2017,16,70,4.0
Печки-лавочки,СССР,Комедии,1972,12,95,8.0
Планета страха,США,Комедии,2007,16,101,6.8
Первый король Рима,Италия,Исторические,2019,16,122,5.9
Парень с нашего кладбища,Россия,Комедии,2015,12,83,7.8
Холодная река,США,Ужасы,2022,16,94,4.4
Проклятие Горгоны,Великобритания,Ужасы,2020,16,87,4.1
Всегда,Южная Корея,Мелодрамы,2011,16,105,8.5
Бизнесмены,Казахстан,Криминал,2018,16,94,7.4
Плейбой под прикрытием,Франция,Боевики,2018,18,86,7.4
Гарри и Хендерсоны,США,Фэнтези,1987,12,110,8.6
"Быстрее, чем кролики",Россия,Комедии,2014,16,99,7.1
Уличные танцы 2,Великобритания,Мелодрамы,2012,12,84,7.5
Ты у меня одна,Россия,Мелодрамы,1993,16,95,7.1
Игра Престолов: Последний дозор,США,Документальные,2019,18,108,8.2
Предатель,Италия,Биография,2019,18,151,7.3
Путь воина,США,Фэнтези,2010,16,96,7.0
Город на границе,США,Триллеры,2007,16,107,7.3
Двойная игра,США,Триллеры,2018,16,107,7.3
БайБайМэн,США,Ужасы,2017,16,92,6.5
Хунны,Россия,Приключения,2021,16,88,4.0
Паранормальное явление 3,США,Ужасы,2011,16,76,6.7
Невыполнимое задание,Россия,Военные,2003,16,125,6.5
Битва,Россия,Драмы,2019,6,81,8.8
Я иду искать. Королевская игра,Великобритания,Ужасы,2022,16,94,5.8
Святой Винсент (На английском языке с русскими субтитрами),США,Комедии,2014,16,102,9.2
Нарко. Война за власть,США,Боевики,2019,18,94,6.3
Призраки войны,США,Ужасы,2020,16,90,6.7
"Петровка, 38",СССР,Криминал,1980,12,83,8.0
Принц,США,Боевики,2014,16,90,6.4
Ёлки 3,Россия,Семейные,2013,6,97,8.2
Петрополис,Россия,Драмы,2022,16,117,5.2
Земля 2245: Искатель рассвета,США,Фантастика,2018,16,82,3.6
Капкан,США,Ужасы,2019,18,83,6.9
Волчок,Россия,Артхаус,2008,16,85,6.7
Красотка на взводе,США,Боевики,2021,18,87,7.1
Снайпер: Безупречное убийство,США,Боевики,2017,18,89,6.6
Ограды,США,Драмы,2016,12,133,7.8
Последний стрим,США,Драмы,2020,16,110,7.7
Проклятый остров,Великобритания,Ужасы,2020,16,106,5.4
Жизнь задом наперед,Великобритания,Драмы,2007,18,88,7.9
100 вещей и ничего лишнего,Германия,Комедии,2018,18,106,8.0
Кококо,Россия,Драмы,2012,16,83,6.8
Чиновник,Россия,Комедии,2021,16,76,5.6
Томирис,Казахстан,Исторические,2019,16,155,8.1
В объятиях лжи,Ирландия,Триллеры,2018,16,94,7.0
Галопом по Европе,Испания,Комедии,2021,16,98,6.4
Измена,США,Мелодрамы,2021,16,91,6.6
Красавица для чудовища,Великобритания,Драмы,2017,18,115,7.5
Одной левой,Россия,Комедии,2015,16,79,7.3
"Город грехов 2: Женщина, ради которой стоит убивать",США,Триллеры,2014,16,98,7.8
"Прощай, детка, прощай",США,Триллеры,2007,16,108,7.4
Назад в будущее,США,Фантастика,1985,12,115,8.9
Решала 2,Россия,Драмы,2015,16,85,7.1
Госфорд парк,Великобритания,Детективы,2001,18,131,6.7
Золотая перчатка,Германия,Триллеры,2019,16,109,5.6
Таинственный сад,Великобритания,Фэнтези,2020,6,95,7.8
Преисподняя,Нидерланды,Триллеры,2016,16,142,7.6
Гретель и Гензель,Канада,Фэнтези,2020,16,83,5.5
Искусственный интеллект. Доступ неограничен,Ирландия,Триллеры,2016,16,92,6.8
Любите Куперов,США,Комедии,2015,16,102,7.6
Майор,Россия,Криминал,2013,16,99,7.1
Форсаж 6,США,Боевики,2013,12,129,8.6
Стиляги,Россия,Мюзикл,2008,16,136,8.3
Отцы и деды,СССР,Мелодрамы,1982,12,79,8.4
Закрытое море: Год акулы,Франция,Ужасы,2022,18,83,4.6
Похититель времени,Канада,Фэнтези,2021,6,113,6.6
"Любовь, любовь, любовь",США,Мелодрамы,2020,16,90,6.4
Ёлки 2,Россия,Комедии,2011,12,96,8.5
Шампанского!,Франция,Комедии,2022,18,90,6.8
Райский город,США,Боевики,2022,18,92,5.6
Незваный гость,Южная Корея,Триллеры,2020,16,102,6.9
Ведьмы из Сугаррамурди,Испания,Комедии,2013,16,109,6.2
Паранойя,США,Триллеры,2013,12,101,7.6
За гранью жизни,США,Боевики,2021,16,95,5.9
Собачья жизнь,США,Фэнтези,2017,6,99,9.1
Никто не выжил,США,Триллеры,2012,18,84,6.8
Неуловимые: Последний герой,Россия,Приключения,2015,16,72,7.0
Без башни,Россия,Короткометражки,2022,16,24,7.1
"Хороший, плохой, злой",Италия,Вестерн,1966,16,178,8.4
Чёрные воды,Канада,Боевики,2018,16,104,6.0
Шагни вперед,Франция,Мелодрамы,2022,18,117,7.3
Шимпанзе под прикрытием,Франция,Комедии,2021,12,81,6.7
Преступная деятельность,США,Триллеры,2015,16,93,6.6
Отроки во Вселенной,СССР,Фантастика,1974,6,79,8.2
Птицелов,Норвегия,Исторические,2019,16,100,7.0
Добро пожаловать в Рим. Новые приключения,Италия,Комедии,2021,16,108,6.6
100 дней на жизнь,США,Триллеры,2019,16,87,6.5
Все оттенки Токио,США,Триллеры,2020,16,93,5.5
Ёлки 5,Россия,Семейные,2016,6,84,7.8
Рождество с неудачниками,США,Комедии,2004,12,94,7.5
Парадокс времени,США,Фантастика,2021,16,75,4.1
Воспоминания убийцы,Южная Корея,Триллеры,2017,16,118,7.0
Лок,Великобритания,Драмы,2013,16,81,5.6
Край,Россия,Драмы,2010,16,118,7.7
Елена,Россия,Драмы,2011,16,108,6.5
Параграф 78: Фильм второй,Россия,Фантастика,2007,16,89,7.2
Районы,Казахстан,Криминал,2016,16,90,7.5
Галлоуз Хилл,США,Ужасы,2013,16,83,6.1
Вооруженное ограбление,Китай,Боевики,2022,16,72,6.4
Ледяная история,Россия,Фэнтези,2021,0,90,7.0
Заложники Марса,Великобритания,Фантастика,2021,16,99,4.8
Королева сердец,Дания,Драмы,2019,18,121,5.9
Маленькие секреты большой компании,Франция,Комедии,2019,16,134,7.9
Большая жратва,США,Комедии,2005,18,93,6.0
Стритрейсеры,Россия,Боевики,2008,16,108,7.2
Французский мастер,Россия,Драмы,2022,18,90,5.7
Опасный соблазн,Россия,Триллеры,2020,16,93,6.0
Капитан Фантастик,США,Драмы,2016,16,114,7.9
Толмен: Первый демон,Канада,Ужасы,2020,16,77,5.4
Вратарь Галактики,Россия,Фантастика,2020,6,118,7.4
Воин,Россия,Спорт,2015,12,87,7.8
Отвязные каникулы,США,Криминал,2012,16,93,5.3
Кошмар Юрского периода,США,Ужасы,2021,16,80,4.7
Незнакомец,США,Триллеры,2021,16,90,5.3
Ван Гог. На пороге вечности,Ирландия,Биография,2019,16,106,7.8
В ловушке,США,Триллеры,2021,16,89,5.9
Пятница,Россия,Комедии,2016,16,86,7.5
Курьер из рая,Россия,Комедии,2013,12,88,7.2
Доверенность,США,Триллеры,2013,16,121,5.6
Хэллфест,США,Ужасы,2018,16,85,6.4
Смешанные чувства,Россия,Комедии,2014,16,85,6.9
Любовь и Роман,Россия,Мелодрамы,2014,12,87,7.3
Обитаемый остров. Планета Саракш,Россия,Фантастика,2012,12,119,6.4
Адский ад,Австралия,Ужасы,2020,16,93,7.0
Отряд Таганок,Россия,Семейные,2020,6,89,7.9
Спутник,Россия,Фантастика,2020,16,113,6.9
Человек с бульвара Капуцинов,СССР,Мюзикл,1987,16,93,8.8
Очень духовные практики,США,Комедии,2021,18,90,5.8
Призрак монахини из Борли,Великобритания,Ужасы,2021,18,83,4.6
Трудный день,Южная Корея,Триллеры,2014,16,110,7.7
Третья волна зомби,Ирландия,Драмы,2018,16,91,5.8
Перегон,Россия,Драмы,2006,16,139,7.0
Дикая парочка,Ирландия,Драмы,2020,16,98,7.3
Тень,Китай,Боевики,2018,16,110,6.0
Проект: Время назад,США,Фантастика,2019,16,94,4.8
Лобстер,Ирландия,Драмы,2015,18,113,5.9
Отцы и дочери,США,Драмы,2015,16,111,7.8
Родина,Россия,Драмы,2015,16,119,6.8
Одноклассники.ру: Накликай удачу,Россия,Мелодрамы,2012,12,99,7.1
Чёрная пятница,США,Ужасы,2021,18,80,4.5
Боевой робот номер 4,Австралия,Боевики,2020,18,131,6.5
Календарь Дьявола,Франция,Ужасы,2021,16,104,6.5
Тролли: Чудесный дом,Нидерланды,Фэнтези,2016,6,89,7.3
Москва-Кассиопея,СССР,Фантастика,1974,6,79,8.2
Каникулы в конном лагере,США,Комедии,2020,12,79,4.8
Кровавая гора,США,Вестерн,2019,16,99,5.9
мама!,США,Триллеры,2017,18,116,5.5
Авантюристки,Италия,Комедии,2020,16,85,6.4
Инсайдеры,Южная Корея,Триллеры,2015,18,130,7.5
Архипелаг,Россия,Драмы,2021,12,103,7.3
Селфи,Россия,Триллеры,2018,16,109,6.4
Три мушкетера,Великобритания,Приключения,2023,16,98,3.5
Боец без правил,США,Драмы,2021,12,87,8.2
Я – женщина,Австралия,Биография,2019,16,116,7.8
Мертвые воды,США,Триллеры,2019,16,89,5.3
